CompoundName,SeverityClass,LabelSection,vDILI-Concern
Abacavir sulfate,8,Warnings & precautions,vMost-DILI-concern
Abaloparatide,0,No match,vNo-DILI-concern
Abatacept,0,No match,vLess-DILI-concern
Abciximab,0,No match,vNo-DILI-concern
Abemaciclib,3,Warnings & precautions,vLess-DILI-concern
Abiraterone acetate,8,Warnings & precautions,vMost-DILI-concern
Acalabrutinib,4,Adverse reactions,Ambiguous-DILI-concern
Acamprosate calcium,3,Adverse reactions,vLess-DILI-concern
Acarbose,8,Warnings & precautions,vMost-DILI-concern
Acebutolol hydrochloride,3,Adverse reactions,vLess-DILI-concern
Aceclofenac,0,No match,vLess-DILI-concern
Acetaminophen,5,Warnings & precautions,vMost-DILI-concern
Acetazolamide,8,Warnings & precautions,vMost-DILI-concern
Acetohydroxamic acid,3,Warnings & precautions,Ambiguous-DILI-concern
Acetylcholine chloride,0,No match,vNo-DILI-concern
Acetylcysteine,0,No match,vNo-DILI-concern
Acitretin,5,Box warning,vMost-DILI-concern
Acyclovir,5,Adverse reactions,vLess-DILI-concern
Adalimumab,7,Adverse reactions,vLess-DILI-concern
Adefovir dipivoxil,2,Warnings & precautions,vLess-DILI-concern
Adenosine,0,No match,vNo-DILI-concern
Afatinib dimaleate,8,Warnings & precautions,Ambiguous-DILI-concern
Agalsidase beta,0,No match,vNo-DILI-concern
Alaproclate,8,Withdrawn,vMost-DILI-concern
Alatrofloxacin mesylate,8,Withdrawn,vMost-DILI-concern
Albendazole,7,Warnings & precautions,vMost-DILI-concern
Albuterol,0,No match,vNo-DILI-concern
Alclofenac,8,Withdrawn,vMost-DILI-concern
Aldesleukin,3,Warnings & precautions,Ambiguous-DILI-concern
Alectinib hydrochloride,4,Warnings & precautions,Ambiguous-DILI-concern
Alemtuzumab,0,No match,vLess-DILI-concern
Alendronate sodium,0,No match,vLess-DILI-concern
Alfentanil hydrochloride,0,No match,vNo-DILI-concern
Alfuzosin hydrochloride,5,Adverse reactions,vLess-DILI-concern
Alglucosidase alfa,0,No match,vNo-DILI-concern
Aliskiren hemifumarate,0,No match,vLess-DILI-concern
Allopurinol,8,Warnings & precautions,vMost-DILI-concern
Almotriptan malate,0,No match,vNo-DILI-concern
Alogliptin benzoate,8,Warnings & precautions,Ambiguous-DILI-concern
Alosetron hydrochloride,4,Adverse reactions,vLess-DILI-concern
Alpelisib,3,Adverse reactions,vLess-DILI-concern
Alpidem,8,Withdrawn,vMost-DILI-concern
Alprazolam,7,Adverse reactions,vLess-DILI-concern
Alteplase,0,No match,vNo-DILI-concern
Altretamine,2,Adverse reactions,Ambiguous-DILI-concern
Alvimopan,0,No match,vNo-DILI-concern
Amantadine hydrochloride,3,Warnings & precautions,Ambiguous-DILI-concern
Ambenonium chloride,0,No match,vNo-DILI-concern
Ambrisentan,7,Adverse reactions,Ambiguous-DILI-concern
Amifampridine,0,No match,vNo-DILI-concern
Amifampridine phosphate,3,Adverse reactions,Ambiguous-DILI-concern
Amifostine,0,No match,vNo-DILI-concern
Amikacin sulfate,0,No match,vNo-DILI-concern
Amiloride hydrochloride,3,Adverse reactions,vLess-DILI-concern
Amineptine,8,Withdrawn,vMost-DILI-concern
Aminocaproic acid,0,No match,vNo-DILI-concern
Aminohippurate sodium,0,No match,vNo-DILI-concern
Aminophylline,0,No match,vNo-DILI-concern
Aminosalicylic acid ,5,Warnings & precautions,vMost-DILI-concern
Amiodarone hydrochloride,8,Box warning,vMost-DILI-concern
Amisulpride,3,Adverse reactions,vLess-DILI-concern
Amitriptyline hydrochloride,5,Adverse reactions,vLess-DILI-concern
Amlodipine besylate,5,Adverse reactions,vLess-DILI-concern
Ammonium chloride,0,No match,vNo-DILI-concern
Amoxapine,3,Adverse reactions,Ambiguous-DILI-concern
Amoxicillin,5,Adverse reactions,vLess-DILI-concern
Amphetamine sulfate,0,No match,vLess-DILI-concern
Amphotericin B,3,Warnings & precautions,vLess-DILI-concern
Ampicillin sodium,3,Warnings & precautions,vLess-DILI-concern
Amprenavir,3,Warnings & precautions,Ambiguous-DILI-concern
Anagrelide hydrochloride,3,Warnings & precautions,Ambiguous-DILI-concern
Anakinra,0,No match,vLess-DILI-concern
Anastrozole,3,Adverse reactions,vLess-DILI-concern
Angiotensin ii acetate,0,No match,vNo-DILI-concern
Anidulafungin,7,Warnings & precautions,vMost-DILI-concern
Antithymocyte globulin,3,Adverse reactions,Ambiguous-DILI-concern
Apalutamide,0,No match,vNo-DILI-concern
Apixaban,4,Adverse reactions,vLess-DILI-concern
Aplaviroc,8,Discontinued,vMost-DILI-concern
Apomorphine hydrochloride,0,No match,vNo-DILI-concern
Apremilast,0,No match,vNo-DILI-concern
Aprepitant,3,Adverse reactions,Ambiguous-DILI-concern
Aprotinin,7,Adverse reactions,Ambiguous-DILI-concern
Argatroban,0,No match,vNo-DILI-concern
Arginine hydrochloride,0,No match,vNo-DILI-concern
Argipressin,0,No match,vNo-DILI-concern
Aripiprazole,5,Adverse reactions,vLess-DILI-concern
Aripiprazole lauroxil,5,Adverse reactions,vLess-DILI-concern
Armodafinil,3,Warnings & precautions,Ambiguous-DILI-concern
Arsenic trioxide,3,Adverse reactions,Ambiguous-DILI-concern
Artesunate,5,Adverse reactions,Ambiguous-DILI-concern
Asciminib hydrochloride,4,Adverse reactions,Ambiguous-DILI-concern
Asparaginase,7,Warnings & precautions,vMost-DILI-concern
Aspirin,0,No match,vLess-DILI-concern
Atazanavir sulfate,3,Warnings & precautions,vLess-DILI-concern
Atenolol,4,Adverse reactions,vLess-DILI-concern
Atogepant,3,Adverse reactions,Ambiguous-DILI-concern
Atomoxetine hydrochloride,8,Warnings & precautions,vMost-DILI-concern
Atorvastatin calcium,5,Warnings & precautions,vMost-DILI-concern
Atovaquone,8,Warnings & precautions,Ambiguous-DILI-concern
Atracurium,0,No match,vNo-DILI-concern
Atropine,0,No match,vNo-DILI-concern
Auranofin,3,Warnings & precautions,vLess-DILI-concern
Avacopan,8,Warnings & precautions,Ambiguous-DILI-concern
Avanafil,0,No match,vNo-DILI-concern
Avapritinib,4,Adverse reactions,Ambiguous-DILI-concern
Avatrombopag maleate,0,No match,vNo-DILI-concern
Axitinib,3,Warnings & precautions,Ambiguous-DILI-concern
Azacitidine,8,Warnings & precautions,Ambiguous-DILI-concern
Azathioprine,5,Warnings & precautions,vMost-DILI-concern
Azilsartan kamedoxomil,0,No match,vNo-DILI-concern
Azithromycin,7,Adverse reactions,vLess-DILI-concern
Aztreonam,5,Adverse reactions,Ambiguous-DILI-concern
Bacitracin,0,No match,vNo-DILI-concern
Baclofen,3,Adverse reactions,vLess-DILI-concern
Baloxavir marboxil,0,No match,vNo-DILI-concern
Balsalazide disodium,8,Adverse reactions,Ambiguous-DILI-concern
Baricitinib,3,Warnings & precautions,Ambiguous-DILI-concern
Basiliximab,0,No match,vNo-DILI-concern
Bedaquiline fumarate,3,Warnings & precautions,Ambiguous-DILI-concern
Belinostat,8,Warnings & precautions,Ambiguous-DILI-concern
Belumosudil mesylate,3,Adverse reactions,Ambiguous-DILI-concern
Belzutifan,3,Adverse reactions,Ambiguous-DILI-concern
Bempedoic acid,3,Adverse reactions,Ambiguous-DILI-concern
