query_name,chembl_id,smiles,inchi_key,molecule_type,status
Abacavir sulfate,CHEMBL4303288,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1.Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1.O=S(=O)(O)O,WMHSRBZIJNQHKT-FFKFEZPRSA-N,Small molecule,ok
Abaloparatide,CHEMBL3301581,,,Protein,non_small_or_no_smiles
Abatacept,CHEMBL1201823,,,Protein,non_small_or_no_smiles
Abciximab,CHEMBL1201584,,,Antibody,non_small_or_no_smiles
Abemaciclib,CHEMBL3301610,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,UZWDCWONPYILKI-UHFFFAOYSA-N,Small molecule,ok
Abiraterone acetate,CHEMBL271227,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(c4cccnc4)=CC[C@@H]32)C1,UVIQSJCZCSLXRZ-UBUQANBQSA-N,Small molecule,ok
Acalabrutinib,CHEMBL3707348,CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,WDENQIQQYWYTPO-IBGZPJMESA-N,Small molecule,ok
Acamprosate calcium,CHEMBL2068724,CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-].[Ca+2],BUVGWDNTAWHSKI-UHFFFAOYSA-L,Small molecule,ok
Acarbose,CHEMBL404271,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,XUFXOAAUWZOOIT-UGEKTDRHSA-N,Oligosaccharide,non_small_or_no_smiles
Acebutolol hydrochloride,CHEMBL1200813,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1.Cl,KTUFKADDDORSSI-UHFFFAOYSA-N,Small molecule,ok
Aceclofenac,CHEMBL93645,O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,MNIPYSSQXLZQLJ-UHFFFAOYSA-N,Small molecule,ok
Acetaminophen,CHEMBL112,CC(=O)Nc1ccc(O)cc1,RZVAJINKPMORJF-UHFFFAOYSA-N,Small molecule,ok
Acetazolamide,CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,BZKPWHYZMXOIDC-UHFFFAOYSA-N,Small molecule,ok
Acetohydroxamic acid,CHEMBL734,CC(=O)NO,RRUDCFGSUDOHDG-UHFFFAOYSA-N,Small molecule,ok
Acetylcholine chloride,CHEMBL1184,CC(=O)OCC[N+](C)(C)C.[Cl-],JUGOREOARAHOCO-UHFFFAOYSA-M,Small molecule,ok
Acetylcysteine,CHEMBL600,CC(=O)N[C@@H](CS)C(=O)O,PWKSKIMOESPYIA-BYPYZUCNSA-N,Small molecule,ok
Acitretin,CHEMBL1131,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,IHUNBGSDBOWDMA-AQFIFDHZSA-N,Small molecule,ok
Acyclovir,CHEMBL184,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,MKUXAQIIEYXACX-UHFFFAOYSA-N,Small molecule,ok
Adalimumab,CHEMBL1201580,,,Antibody,non_small_or_no_smiles
Adefovir dipivoxil,CHEMBL922,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,WOZSCQDILHKSGG-UHFFFAOYSA-N,Small molecule,ok
Adenosine,CHEMBL477,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,OIRDTQYFTABQOQ-KQYNXXCUSA-N,Small molecule,ok
Afatinib dimaleate,CHEMBL2105712,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,USNRYVNRPYXCSP-JUGPPOIOSA-N,Small molecule,ok
Agalsidase beta,CHEMBL2108888,,,Enzyme,non_small_or_no_smiles
Alaproclate,CHEMBL36591,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,FZSPJBYOKQPKCD-UHFFFAOYSA-N,Small molecule,ok
