molecule_chembl_id,target_chembl_id,target_pref_name,target_organism,action_type,mechanism_of_action,query_name
CHEMBL4303288,CHEMBL247,,,INHIBITOR,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,Abacavir sulfate
CHEMBL3301610,CHEMBL331,,,INHIBITOR,Cyclin-dependent kinase 4 inhibitor,Abemaciclib
CHEMBL3301610,CHEMBL2508,,,INHIBITOR,Cyclin-dependent kinase 6 inhibitor,Abemaciclib
CHEMBL271227,CHEMBL3522,,,INHIBITOR,Cytochrome P450 17A1 inhibitor,Abiraterone acetate
CHEMBL3707348,CHEMBL5251,,,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,Acalabrutinib
CHEMBL2068724,CHEMBL2094124,,,ANTAGONIST,Glutamate [NMDA] receptor antagonist,Acamprosate calcium
CHEMBL2068724,CHEMBL2093872,,,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator,Acamprosate calcium
CHEMBL1200813,CHEMBL213,,,ANTAGONIST,Beta-1 adrenergic receptor antagonist,Acebutolol hydrochloride
CHEMBL93645,CHEMBL230,,,INHIBITOR,Cyclooxygenase-2 inhibitor,Aceclofenac
CHEMBL112,CHEMBL2094253,,,INHIBITOR,Cyclooxygenase inhibitor,Acetaminophen
CHEMBL112,CHEMBL2243,,,INHIBITOR,Anandamide amidohydrolase inhibitor,Acetaminophen
CHEMBL112,CHEMBL4794,,,OPENER,Vanilloid receptor opener,Acetaminophen
CHEMBL20,CHEMBL261,,,INHIBITOR,Carbonic anhydrase I inhibitor,Acetazolamide
CHEMBL20,CHEMBL205,,,INHIBITOR,Carbonic anhydrase II inhibitor,Acetazolamide
CHEMBL20,CHEMBL3242,,,INHIBITOR,Carbonic anhydrase XII inhibitor,Acetazolamide
CHEMBL20,CHEMBL3729,,,INHIBITOR,Carbonic anhydrase IV inhibitor,Acetazolamide
CHEMBL734,CHEMBL2364683,,,INHIBITOR,Bacterial urease inhibitor,Acetohydroxamic acid
CHEMBL1184,CHEMBL245,,,AGONIST,Muscarinic acetylcholine receptor M3 agonist,Acetylcholine chloride
CHEMBL600,,,,,Glutathione precursor,Acetylcysteine
CHEMBL600,,,,,Mycolytic,Acetylcysteine
CHEMBL1131,CHEMBL2363071,,,AGONIST,Retinoid receptor agonist,Acitretin
CHEMBL184,CHEMBL1872,,,INHIBITOR,Human herpesvirus 1 DNA polymerase inhibitor,Acyclovir
CHEMBL922,CHEMBL2362994,,,INHIBITOR,DNA polymerase/reverse transcriptase inhibitor,Adefovir dipivoxil
CHEMBL477,CHEMBL2111329,,,AGONIST,Adenosine receptor agonist,Adenosine
CHEMBL2105712,CHEMBL203,,,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,Afatinib dimaleate
CHEMBL2105712,CHEMBL1824,,,INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,Afatinib dimaleate
CHEMBL2105712,CHEMBL3009,,,INHIBITOR,Receptor protein-tyrosine kinase erbB-4 inhibitor,Afatinib dimaleate
CHEMBL1200498,CHEMBL2363076,,,INHIBITOR,Topoisomerase IV inhibitor,Alatrofloxacin mesylate
CHEMBL1200498,CHEMBL2311224,,,INHIBITOR,Bacterial DNA gyrase inhibitor,Alatrofloxacin mesylate
CHEMBL1483,CHEMBL2364704,,,INHIBITOR,Tubulin inhibitor,Albendazole
CHEMBL1483,CHEMBL2364705,,,INHIBITOR,Tubulin inhibitor,Albendazole
CHEMBL714,CHEMBL210,,,AGONIST,Beta-2 adrenergic receptor agonist,Albuterol
CHEMBL94081,CHEMBL221,,,INHIBITOR,Cyclooxygenase-1 inhibitor,Alclofenac
CHEMBL3707320,CHEMBL4247,,,INHIBITOR,ALK tyrosine kinase receptor inhibitor,Alectinib hydrochloride
CHEMBL3707320,CHEMBL2041,,,INHIBITOR,Tyrosine-protein kinase receptor RET inhibitor,Alectinib hydrochloride
CHEMBL3707320,CHEMBL3883330,,,INHIBITOR,EML4-ALK inhibitor,Alectinib hydrochloride
CHEMBL675,CHEMBL1782,,,INHIBITOR,Farnesyl diphosphate synthase inhibitor,Alendronate sodium
